"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53011","0410.03","1","Clark WA",0.1542,0 
"53011","0410.03","2","Clark WA",0.539,0 
"53011","0410.03","3","Clark WA",0.3269,0 
"53011","0410.03","4","Clark WA",0.2721,0 
"53011","0410.05","1","Clark WA",0.3788,0 
"53011","0410.05","2","Clark WA",13.7347,0.0002 
"53011","0410.07","1","Clark WA",0.2773,0 
"53011","0410.07","2","Clark WA",0.3386,0 
"53011","0410.07","3","Clark WA",0.1433,0 
"53011","0410.08","1","Clark WA",0.3999,0 
"53011","0410.08","2","Clark WA",0.3143,0 
"53011","0410.08","3","Clark WA",0.2823,0 
"53011","0410.09","1","Clark WA",0.3352,0 
"53011","0410.09","2","Clark WA",0.4447,0 
"53011","0410.09","3","Clark WA",0.1609,0 
"53011","0410.10","1","Clark WA",0.8231,0 
"53011","0410.10","2","Clark WA",0.558,0 
"53011","0410.11","1","Clark WA",1.0262,0 
"53011","0410.11","2","Clark WA",0.4724,0 
"53011","0411.04","1","Clark WA",0.3875,0 
"53011","0411.04","2","Clark WA",0.3507,0 
"53011","0411.05","1","Clark WA",1.0381,0 
"53011","0411.05","2","Clark WA",0.3006,0 
"53011","0411.05","3","Clark WA",0.4391,0 
"53011","0411.07","1","Clark WA",0.5971,0 
"53011","0411.07","2","Clark WA",0.1875,0 
"53011","0411.08","1","Clark WA",0.2066,0 
"53011","0411.08","2","Clark WA",0.538,0 
"53011","0411.08","3","Clark WA",0.4908,0 
"53011","0411.10","1","Clark WA",0.2599,0 
"53011","0411.10","2","Clark WA",0.3888,0 
"53011","0411.10","3","Clark WA",0.5435,0 
"53011","0411.11","1","Clark WA",0.2076,0 
"53011","0411.11","2","Clark WA",0.0904,0 
"53011","0411.12","1","Clark WA",0.271,0 
"53011","0411.12","2","Clark WA",0.3482,0 
"53011","0411.12","3","Clark WA",0.113,0 
"53011","0411.12","4","Clark WA",0.1378,0 
"53011","0412.01","1","Clark WA",0.1434,0 
"53011","0412.01","2","Clark WA",0.2315,0 
